i,singular_value,energy_ratio,cum_energy
148,0.8129105228680036,0.0030805502229737883,0.8760038202647348
149,0.8038911280918222,0.0030125708830844406,0.8790163911478192
150,0.8017194298284441,0.0029963160504529627,0.8820127071982721
151,0.7992564018989722,0.0029779338746521926,0.8849906410729244
152,0.7966545460035154,0.0029585770241385757,0.8879492180970628
153,0.7928105748319386,0.0029300947982150295,0.8908793128952778
154,0.7898009097754257,0.0029078905904827506,0.8937872034857606
155,0.7879046800554259,0.0028939442675856883,0.8966811477533463
156,0.7857479215631321,0.002878122566194775,0.8995592703195411
157,0.782344529708112,0.0028532439384348863,0.9024125142579761
158,0.7765545290040262,0.002811167457141014,0.9052236817151171
159,0.7741356896851344,0.0027936820854010487,0.9080173638005181
160,0.7734806140682539,0.002788956043872196,0.9108063198443903
161,0.7696028810191119,0.0027610620862392947,0.9135673819306295
162,0.7671545867541084,0.002743522806683376,0.9163109047373129
163,0.758615494604075,0.00268278716871055,0.9189936919060235
164,0.7561377820257111,0.0026652912952496457,0.9216589832012732
165,0.7528624729015395,0.0026422511925285677,0.9243012343938017
166,0.7511248799931044,0.0026300687317309807,0.9269313031255327
167,0.7487922201449787,0.002613758449608585,0.9295450615751413
168,0.7422852232270352,0.002568528760331118,0.9321135903354724
169,0.7417931551720747,0.0025651244839454334,0.9346787148194178
170,0.7382686157712078,0.0025408066429787497,0.9372195214623965
171,0.7341857349646176,0.00251278127369107,0.9397323027360877
172,0.7279760978479404,0.0024704555427048206,0.9422027582787924
173,0.722629733836263,0.0024343020094778297,0.9446370602882702
174,0.7187669307289464,0.002408346540064058,0.9470454068283343
175,0.7159519791334891,0.0023895195646020523,0.9494349263929364
176,0.7093809601473625,0.002345858748764367,0.9517807851417007
177,0.7020450104259965,0.0022975909766946314,0.9540783761183953
178,0.6989818961443758,0.00227758533533577,0.9563559614537311
179,0.6972850906112661,0.0022665409043883095,0.9586225023581194
180,0.6915423792545948,0.002229361015393535,0.960851863373513
181,0.6826277242757858,0.002172254213674996,0.9630241175871881
182,0.6807801401637014,0.002160511382515776,0.9651846289697038
183,0.67876305644385,0.002147727589276614,0.9673323565589804
184,0.6740139898125243,0.0021177789364522103,0.9694501354954326
185,0.6731056597838888,0.0021120747640170157,0.9715622102594496
186,0.6706907942793978,0.0020969471915733536,0.9736591574510229
187,0.6649204914006008,0.002061020147027089,0.97572017759805
188,0.6599485838672093,0.0020303130466274594,0.9777504906446775
189,0.6591017085442147,0.0020251056142916303,0.9797755962589692
190,0.6523815785293388,0.001984020619259873,0.981759616878229
191,0.6492404992993639,0.0019649613344332314,0.9837245782126622
192,0.6426457122384498,0.0019252451203548217,0.985649823333017
193,0.6407972499937719,0.001914185761250761,0.9875640090942678
194,0.6319648043253885,0.001861780969879931,0.9894257900641477
195,0.6309956782403884,0.0018560752184481584,0.9912818652825959
196,0.6226614726991793,0.0018073688452545835,0.9930892341278503
197,0.6157422723320127,0.0017674239794352176,0.9948566581072856
198,0.6111855523652422,0.0017413615942972866,0.9965980197015829
199,0.6072568136132757,0.0017190463860163917,0.9983170660875993
200,0.6008445545723394,0.0016829339124012322,1.0000000000000004
